Comment,Designator,Footprint,LCSC Part #
4.7uF 100V X7R,"C1,C2",C_1210_3225Metric,C385986
22uF 25V,"C3,C4,C12,C13",C_0805_2012Metric,C45783
2.2nF 50V,"C5,C6",C_0603_1608Metric,C1604
270pF C0G,C7,C_0603_1608Metric,C1657
22pF C0G,"C10,C11",C_0603_1608Metric,C1653
100nF,"C14,C16,C18",C_0603_1608Metric,C14663
10uF,C15,C_0603_1608Metric,C19702
4.7uF,C17,C_0603_1608Metric,C19666
1uF,C19,C_0603_1608Metric,C15849
SS36,D1,D_SMA,C16015
SMBJ24CA,D2,D_SMB,C83268
PESD2CAN,D3,SOT-23,C75176
1A 63V,F1,Fuse_1206_3216Metric,C151135
DLW43SH101XK2L,L1,L_CommonModeChoke_Murata_DLW43SH,C123085
22uH,L2,L_Changjiang_FNR5040S,C167971
27.4k,R1,R_0603_1608Metric,C22964
100k,"R2,R6",R_0603_1608Metric,C25803
57.6k,R3,R_0603_1608Metric,C23082
150k,R4,R_0603_1608Metric,C22807
365k,R5,R_0603_1608Metric,C23031
10k,"R7,R8,R9",R_0603_1608Metric,C25804
ESP32-S3-WROOM-1U-N16R8,U1,ESP32-S3-WROOM-1U,C3013946
MCP2518FDT-E/SL,U2,SOIC-14_3.9x8.7mm_P1.27mm,C626758
LM5164DDAR,U3,TI_SO-PowerPAD-8_ThermalVias,C477928
TCAN332GDR,U4,SOIC-8_3.9x4.9mm_P1.27mm,C191010
40MHz 15pF,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9010
