Designator,Mid X,Mid Y,Layer,Rotation
C1,52.200mm,17.100mm,Top,0
C2,46.600mm,16.500mm,Top,-90
C3,41.000mm,8.500mm,Top,90
C4,47.900mm,2.500mm,Top,90
C5,52.600mm,7.050mm,Top,0
C6,43.700mm,8.600mm,Top,0
C7,46.800mm,10.200mm,Top,0
C10,22.600mm,21.800mm,Top,90
C11,26.000mm,27.700mm,Top,180
C12,9.600mm,2.000mm,Top,0
C13,6.100mm,2.000mm,Top,0
C14,2.800mm,2.000mm,Top,0
C15,39.900mm,30.400mm,Top,0
C16,36.800mm,30.400mm,Top,0
C17,23.725mm,17.300mm,Top,180
C18,23.775mm,19.100mm,Top,0
C19,12.900mm,2.000mm,Top,180
D1,52.500mm,22.550mm,Top,90
D2,48.300mm,22.550mm,Top,90
D3,28.940mm,8.500mm,Top,-90
F1,53.300mm,28.500mm,Top,-90
L1,28.500mm,13.200mm,Top,-90
L2,51.700mm,3.400mm,Top,-90
R1,46.800mm,13.400mm,Top,180
R2,46.800mm,8.600mm,Top,0
R3,46.800mm,7.000mm,Top,180
R4,43.700mm,10.200mm,Top,0
R5,43.700mm,13.400mm,Top,0
R6,46.800mm,11.800mm,Top,0
R7,15.900mm,2.000mm,Top,180
R8,16.500mm,24.500mm,Top,0
R9,20.900mm,2.000mm,Top,90
U1,10.790mm,13.604mm,Top,90
U2,31.475mm,26.730mm,Top,0
U3,51.300mm,11.600mm,Top,-90
U4,29.000mm,19.000mm,Top,0
X1,25.500mm,24.900mm,Top,0
